generics,product_name,dosage_form,strength,company,unit_price,strip_price,pack_size,pack_type
levofloxacin-hemihydrate,Urilev,IV Infusion,500 mg/100 ml,Techno Drugs Ltd.,100.0,,100 ml,bottle
levofloxacin-hemihydrate,Xelevo,Tablet,500 mg,Pharmasia Limited,15.0,300.0,20's,pack
levofloxacin-hemihydrate,Xenolev,Tablet,500 mg,Virgo Pharmaceuticals Ltd.,15.0,300.0,20's,pack
clindamycin-lotion,Clindacin,Lotion,1%,Incepta Pharmaceuticals Ltd.,125.0,,25 ml,bottle
clindamycin-lotion,Clindax,Lotion,1%,Opsonin Pharma Ltd.,125.85,,25 ml,bottle
clindamycin-lotion,Clinex,Lotion,1%,Aristopharma Ltd.,125.0,,25 ml,bottle
clindamycin-lotion,Daclin,Lotion,1%,ACI Limited,125.38,,25 ml,bottle
clindamycin-lotion,Lindamax,Lotion,1%,Eskayef Pharmaceuticals Ltd.,125.0,,25 ml,bottle
saccharomyces-boulardii-lactobacillus-rhamnosus-zinc,Proeast Z,Sprinkle Capsule,5 billion+1 billion+20 mg,Radiant Nutraceuticals Ltd.,30.0,900.0,3 x 10 pcs,strip
minocycline-hydrochloride,Minocin,Capsule,50 mg,UniMed UniHealth Pharmaceuticals Ltd.,25.0,750.0,3 x 10 pcs,strip
minocycline-hydrochloride,Minocin,Tablet,100 mg,UniMed UniHealth Pharmaceuticals Ltd.,45.0,900.0,2 x 10 pcs,strip
minocycline-hydrochloride,Minocin,Tablet,50 mg,UniMed UniHealth Pharmaceuticals Ltd.,25.0,750.0,3 x 10 pcs,strip
cefotaxime,Cefot,IM/IV Injection,500 mg/10 ml,ACI Limited,76.23,,500 mg,vial
cefotaxime,Cefot,IM/IV Injection,2 gm/10 ml,ACI Limited,250.75,,2 gm,vial
cefotaxime,Cefot,IM/IV Injection,1 gm/10 ml,ACI Limited,132.4,,1 gm,vial
cefotaxime,Cefot,IM/IV Injection,250 mg/5 ml,ACI Limited,50.15,,250 mg,vial
cefotaxime,Cefotax,IM/IV Injection,250 mg/5 ml,Renata PLC,75.0,,250 mg,vial
cefotaxime,Cefotax,IM/IV Injection,1 gm/10 ml,Renata PLC,180.0,,1 gm,vial
cefotaxime,Cefotax,IM/IV Injection,500 mg/10 ml,Renata PLC,100.0,,500 mg,vial
cefotaxime,Cefotime,IM/IV Injection,250 mg/5 ml,Incepta Pharmaceuticals Ltd.,57.0,,250 mg,vial
cefotaxime,Cefotime,IM/IV Injection,1 gm/10 ml,Incepta Pharmaceuticals Ltd.,150.0,,1 gm,vial
cefotaxime,Cefotime,IM/IV Injection,500 mg/10 ml,Incepta Pharmaceuticals Ltd.,87.0,,500 mg,vial
cefotaxime,Ceftax,IM/IV Injection,250 mg/5 ml,Opsonin Pharma Ltd.,50.19,,250 mg,vial
cefotaxime,Ceftax,IM/IV Injection,1 gm/10 ml,Opsonin Pharma Ltd.,132.5,,1 gm,vial
cefotaxime,Ceftax,IM/IV Injection,500 mg/10 ml,Opsonin Pharma Ltd.,76.29,,500 mg,vial
cefotaxime,Cetaxim,IM/IV Injection,1 gm/10 ml,Globe Pharmaceuticals Ltd.,130.0,,1 gm,vial
cefotaxime,Cetaxim,IM/IV Injection,250 mg/5 ml,Globe Pharmaceuticals Ltd.,50.0,,250 mg,vial
cefotaxime,Cetaxim,IM/IV Injection,500 mg/10 ml,Globe Pharmaceuticals Ltd.,76.0,,500 mg,vial
cefotaxime,Maxcef,IM/IV Injection,250 mg/5 ml,Square Pharmaceuticals PLC,75.0,,250 mg,vial
cefotaxime,Taxceph,IM/IV Injection,250 mg/5 ml,Ibn Sina Pharmaceuticals Ltd.,52.0,,250 mg,vial
cefotaxime,Taxceph,IM/IV Injection,500 mg/10 ml,Ibn Sina Pharmaceuticals Ltd.,76.0,,500 mg,vial
cefotaxime,Taxceph,IM/IV Injection,1 gm/10 ml,Ibn Sina Pharmaceuticals Ltd.,140.0,,1 gm,vial
cefotaxime,Taxim,IM/IV Injection,250 mg/5 ml,ACME Laboratories Ltd.,75.22,,250 mg,vial
cefotaxime,Taxim,IM/IV Injection,500 mg/10 ml,ACME Laboratories Ltd.,100.3,,500 mg,vial
cefotaxime,Taxim,IM/IV Injection,1 gm/10 ml,ACME Laboratories Ltd.,150.44,,1 gm,vial
cefotaxime,Torped,IM/IV Injection,250 mg/5 ml,Orion Pharma Ltd.,50.35,,250 mg,vial
cefotaxime,Torped,IM/IV Injection,500 mg/10 ml,Orion Pharma Ltd.,75.5,,500 mg,vial
cefotaxime,Torped,IM/IV Injection,1 gm/10 ml,Orion Pharma Ltd.,130.88,,1 mg,vial
chloramphenicol-ophthalmic,A-Phenicol,Ophthalmic Solution,0.5%,ACME Laboratories Ltd.,34.5,,10 ml,drop
chloramphenicol-ophthalmic,Aristophen,Ophthalmic Ointment,1%,Aristopharma Ltd.,8.39,,3 gm,tube
chloramphenicol-ophthalmic,Aristophen,Ophthalmic Ointment,1%,Aristopharma Ltd.,13.0,,5 gm,tube
chloramphenicol-ophthalmic,Aristophen,Ophthalmic Solution,0.5%,Aristopharma Ltd.,34.5,,10 ml,drop
chloramphenicol-ophthalmic,Chemophenicol,Ophthalmic Solution,0.5%,Chemist Laboratories Ltd.,34.0,,10 ml,drop
chloramphenicol-ophthalmic,Chlorovis,Ophthalmic Solution,0.5%,Biopharma Limited,34.4,,10 ml,drop
chloramphenicol-ophthalmic,Chlorphen,Ophthalmic Ointment,1%,Nipa Pharmaceuticals Ltd.,8.5,,3 gm,tube
chloramphenicol-ophthalmic,Chlorphen,Ophthalmic Solution,0.5%,Nipa Pharmaceuticals Ltd.,30.0,,10 ml,drop
chloramphenicol-ophthalmic,Cloram,Ophthalmic Solution,0.5%,Ibn Sina Pharmaceuticals Ltd.,34.38,,10 ml,drop
chloramphenicol-ophthalmic,Cloram,Ophthalmic Ointment,1%,Ibn Sina Pharmaceuticals Ltd.,13.0,,5 gm,tube
chloramphenicol-ophthalmic,Conicol,Ophthalmic Ointment,1%,Opsonin Pharma Ltd.,9.71,,3 gm,tube
chloramphenicol-ophthalmic,Conicol,Ophthalmic Solution,0.5%,Opsonin Pharma Ltd.,34.4,,10 ml,drop
chloramphenicol-ophthalmic,Edrumycetin,Ophthalmic Solution,0.5%,Edruc Limited,34.0,,10 ml,drop
chloramphenicol-ophthalmic,Eyephen,Ophthalmic Solution,0.5%,Healthcare Pharmaceuticals Ltd.,34.0,,10 ml,drop
chloramphenicol-ophthalmic,G-Chloramphenicol,Ophthalmic Solution,0.5%,Gonoshasthaya Pharma Ltd.,20.0,,10 ml,drop
chloramphenicol-ophthalmic,Glophen,Ophthalmic Solution,0.5%,Globe Pharmaceuticals Ltd.,34.0,,10 ml,drop
chloramphenicol-ophthalmic,I-Guard,Ophthalmic Solution,0.5%,Incepta Pharmaceuticals Ltd.,34.4,,10 ml,drop
chloramphenicol-ophthalmic,Icol,Ophthalmic Solution,0.5%,ACI Limited,34.5,,10 ml,drop
chloramphenicol-ophthalmic,Nicol,Ophthalmic Solution,0.5%,Rephco Pharmaceuticals Ltd.,25.0,,10 ml,drop
chloramphenicol-ophthalmic,Nidependiol,Ophthalmic Solution,0.5%,Pacific Pharmaceuticals Ltd.,34.0,,10 ml,drop
chloramphenicol-ophthalmic,Ocubac,Ophthalmic Solution,0.5%,Apex Pharmaceuticals Ltd.,34.5,,10 ml,drop
chloramphenicol-ophthalmic,Ocuclor,Ophthalmic Solution,0.5%,General Pharmaceuticals Ltd.,34.37,,10 ml,drop
chloramphenicol-ophthalmic,Ocuram,Ophthalmic Solution,0.5%,Navana Pharmaceuticals Ltd.,35.0,,10 ml,drop
chloramphenicol-ophthalmic,Ocutrex,Ophthalmic Solution,0.5%,Beximco Pharmaceuticals Ltd.,34.5,,10 ml,drop
chloramphenicol-ophthalmic,Opsophenicol,Ophthalmic Ointment,1%,OSL Pharma Limited,10.0,,3 gm,tube
chloramphenicol-ophthalmic,Opsophenicol,Ophthalmic Solution,0.5%,OSL Pharma Limited,34.5,,10 ml,drop
chloramphenicol-ophthalmic,Optabac,Ophthalmic Solution,0.5%,Popular Pharmaceuticals Ltd.,34.27,,10 ml,drop
chloramphenicol-ophthalmic,Optaphenicol,Ophthalmic Ointment,1%,Reman Drug Laboratories Ltd.,10.0,,3 gm,tube
chloramphenicol-ophthalmic,Optaphenicol,Ophthalmic Solution,0.5%,Reman Drug Laboratories Ltd.,34.0,,10 ml,drop
chloramphenicol-ophthalmic,Opthacol,Ophthalmic Solution,0.5%,Drug International Ltd.,30.1,,10 ml,drop
chloramphenicol-ophthalmic,Optichlor,Ophthalmic Solution,0.5%,Jayson Pharmaceutical Ltd.,34.0,,10 ml,drop
chloramphenicol-ophthalmic,Optichlor,Ophthalmic Ointment,1%,Jayson Pharmaceutical Ltd.,12.09,,5 gm,tube
chloramphenicol-ophthalmic,Opticol,Ophthalmic Solution,0.5%,Asiatic Laboratories Ltd.,34.4,,10 ml,drop
chloramphenicol-ophthalmic,Ramphen,Ophthalmic Solution,0.5%,Kemiko Pharmaceuticals Ltd.,35.0,,10 ml,drop
chloramphenicol-ophthalmic,SQ-Mycetin,Ophthalmic Solution,0.5%,Square Pharmaceuticals PLC,34.5,,10 ml,drop
chloramphenicol-ophthalmic,Supraphen,Ophthalmic Ointment,1%,Gaco Pharmaceuticals Ltd.,12.53,,5 gm,tube
chloramphenicol-ophthalmic,Supraphen,Ophthalmic Solution,0.5%,Gaco Pharmaceuticals Ltd.,34.5,,10 ml,drop
chloramphenicol-ophthalmic,Supraphen,Ophthalmic Solution,10%,Gaco Pharmaceuticals Ltd.,25.57,,10 ml,drop
chloramphenicol-ophthalmic,Supraphen,Ophthalmic Solution,5%,Gaco Pharmaceuticals Ltd.,16.1,,10 ml,drop
chloramphenicol-ophthalmic,Varen,Ophthalmic Solution,0.5%,Monicopharma Ltd.,34.27,,10 ml,drop
ceftaroline-fosamil,Ceftalin,IV Infusion,600 mg/vial,Eskayef Pharmaceuticals Ltd.,4600.0,,600 mg,vial
ceftaroline-fosamil,Zetaro,IV Infusion,600 mg/vial,Incepta Pharmaceuticals Ltd.,4500.0,,600 mg,vial
ceftaroline-fosamil,Zinforo,IV Infusion,600 mg/vial,"Radiant Pharmaceuticals Ltd.
(Mfg. by: Pfizer)",4600.0,,600 mg,vial
sparfloxacin,Aciflox,Tablet,200 mg,ACI Limited,12.0,120.0,1 x 10 pcs,strip
sparfloxacin,Asaf,Tablet,200 mg,Asiatic Laboratories Ltd.,15.0,300.0,2 x 10 pcs,strip
sparfloxacin,Floxipar,Tablet,200 mg,ACME Laboratories Ltd.,15.61,156.1,1 x 10 pcs,strip
sparfloxacin,Mega Flox,Tablet,200 mg,Hudson Pharmaceuticals Ltd.,15.0,300.0,20's,pack
sparfloxacin,Parlox,Tablet,200 mg,Eskayef Pharmaceuticals Ltd.,15.0,150.0,1 x 10 pcs,strip
sparfloxacin,Piocin,Tablet,200 mg,Millat Pharmaceuticals Ltd.,18.0,108.0,6's,pack
sparfloxacin,Quinoflox,Tablet,200 mg,Healthcare Pharmaceuticals Ltd.,15.0,150.0,1 x 10 pcs,strip
sparfloxacin,Saga,Tablet,200 mg,Square Pharmaceuticals PLC,15.05,225.75,3 x 5 pcs,strip
sparfloxacin,Salocin,Tablet,200 mg,Kemiko Pharmaceuticals Ltd.,17.05,170.5,10's,pack
sparfloxacin,Spacin,Tablet,200 mg,SANDOZ (A Novartis Division),26.0,260.0,1 x 10 pcs,strip
sparfloxacin,Spalox,Tablet,200 mg,Edruc Limited,16.0,160.0,10's,pack
sparfloxacin,Spar,Tablet,200 mg,Globe Pharmaceuticals Ltd.,20.0,200.0,1 x 10 pcs,strip
sparfloxacin,Spardon,Tablet,200 mg,Apollo Pharmaceutical Ltd.,16.0,192.0,12's,pack
sparfloxacin,Sparflox,Tablet,200 mg,Alco Pharma Ltd.,16.05,160.5,1 x 10 pcs,strip
sparfloxacin,Sparfloxin,Tablet,200 mg,Desh Pharmaceuticals Ltd.,12.0,240.0,2 x 10 pcs,strip
sparfloxacin,Spark,Tablet,200 mg,Navana Pharmaceuticals Ltd.,15.05,150.5,1 x 10 pcs,strip
sparfloxacin,Sparlin,Tablet,200 mg,Beximco Pharmaceuticals Ltd.,15.06,150.6,1 x 10 pcs,strip
sparfloxacin,Sparonex,Tablet,200 mg,Drug International Ltd.,18.0,360.0,2 x 10 pcs,strip
lomefloxacin,L-con,Ophthalmic Solution,0.3%,Monicopharma Ltd.,70.0,,5 ml,drop
lomefloxacin,Loflox,Ophthalmic Solution,0.3%,OSL Pharma Limited,70.21,,5 ml,drop
lomefloxacin,Lomebac,Ophthalmic Solution,0.3%,Popular Pharmaceuticals Ltd.,70.0,,5 ml,drop
lomefloxacin,Lomecin,Ophthalmic Solution,0.3%,Reman Drug Laboratories Ltd.,70.0,,5 ml,drop
lomefloxacin,Lomecin,Ophthalmic Ointment,0.3%,Reman Drug Laboratories Ltd.,60.0,,3 gm,tube
lomefloxacin,Lomeflox,Ophthalmic Solution,0.3%,Aristopharma Ltd.,80.0,,5 ml,drop
lomefloxacin,Lomegen,Ophthalmic Solution,0.3%,General Pharmaceuticals Ltd.,70.21,,5 ml,drop
lomefloxacin,Lomequin,Ophthalmic Solution,0.3%,Incepta Pharmaceuticals Ltd.,70.0,,5 ml,drop
lomefloxacin,Lomexa,Ophthalmic Solution,0.3%,Opsonin Pharma Ltd.,70.0,,5 ml,drop
lomefloxacin,Lumex,Ophthalmic Solution,0.3%,Gaco Pharmaceuticals Ltd.,65.0,,5 ml,drop
lomefloxacin,Lyflox,Ophthalmic Solution,0.3%,Ibn Sina Pharmaceuticals Ltd.,70.0,,5 ml,drop
lomefloxacin,Meflocin,Ophthalmic Solution,0.3%,Asiatic Laboratories Ltd.,70.0,,5 ml,drop
lomefloxacin,Mexlo,Ophthalmic Solution,0.3%,Square Pharmaceuticals PLC,70.21,,5 ml,drop
lomefloxacin,Namicin,Ophthalmic Solution,0.3%,Nipa Pharmaceuticals Ltd.,70.0,,5 ml,drop
lomefloxacin,Ocuflox,Ophthalmic Solution,0.3%,Biopharma Limited,70.0,,5 ml,drop
lomefloxacin,Opthaflox,Ophthalmic Solution,0.3%,Drug International Ltd.,60.2,,5 ml,drop
lomefloxacin,Optiflox,Ophthalmic Solution,0.3%,Jayson Pharmaceutical Ltd.,50.33,,5 ml,drop
lomefloxacin,Optilom,Ophthalmic Solution,0.3%,Healthcare Pharmaceuticals Ltd.,80.0,,5 ml,drop
moxifloxacin-hydrochloride-injection,Eramox,IV Infusion,400 mg/250 ml,Beacon Pharmaceuticals PLC,350.0,,250 ml,bottle
moxifloxacin-hydrochloride-injection,Iventi,IV Infusion,400 mg/250 ml,Square Pharmaceuticals PLC,350.0,,250 ml,bottle
moxifloxacin-hydrochloride-injection,Maximox,IV Infusion,400 mg/250 ml,Orion Infusion Ltd.,250.0,,250 ml,bottle
moxifloxacin-hydrochloride-injection,Moxibac,IV Infusion,400 mg/250 ml,Popular Pharmaceuticals Ltd.,350.0,,250 ml,bottle
moxifloxacin-hydrochloride-injection,Moxifix,IV Infusion,400 mg/250 ml,ACME Laboratories Ltd.,350.0,,250 ml,bottle
moxifloxacin-hydrochloride-injection,Moxilocin,IV Infusion,400 mg/250 ml,Opsonin Pharma Ltd.,350.0,,250 ml,bottle
moxifloxacin-hydrochloride-injection,Moxquin,IV Infusion,400 mg/250 ml,Incepta Pharmaceuticals Ltd.,350.0,,250 ml,bottle
moxifloxacin-hydrochloride-injection,Optimox,IV Infusion,400 mg/250 ml,Aristopharma Ltd.,350.0,,250 ml,bottle
cloxacillin-sodium,A-Clox,Powder for Suspension,125 mg/5 ml,ACME Laboratories Ltd.,45.0,,100 ml,bottle
cloxacillin-sodium,A-Clox,IM/IV Injection,250 mg/vial,ACME Laboratories Ltd.,20.0,100.0,250 mg,vial
cloxacillin-sodium,A-Clox,IM/IV Injection,500 mg/vial,ACME Laboratories Ltd.,28.4,142.0,500 mg,vial
cloxacillin-sodium,A-Clox,Capsule,500 mg,ACME Laboratories Ltd.,5.98,598.0,25 x 4 pcs,strip
cloxacillin-sodium,Ambeeclox,Capsule,500 mg,Ambee Pharmaceuticals Ltd.,5.96,596.0,10 x 10 pcs,strip
cloxacillin-sodium,Bpclox,Powder for Suspension,125 mg/5 ml,Bristol Pharmaceuticals Ltd.,44.0,,100 ml,bottle
cloxacillin-sodium,Bpclox,Capsule,500 mg,Bristol Pharmaceuticals Ltd.,4.0,400.0,100's,pack
cloxacillin-sodium,Clobex,Capsule,500 mg,Beximco Pharmaceuticals Ltd.,5.96,596.0,10 x 10 pcs,strip
cloxacillin-sodium,Clobex,Powder for Suspension,125 mg/5 ml,Beximco Pharmaceuticals Ltd.,43.85,,100 ml,bottle
cloxacillin-sodium,Cloxacin,Capsule,500 mg,Pharmadesh Laboratories Ltd.,10.53,210.6,20's,pack
cloxacillin-sodium,Cloxacin,Powder for Suspension,125 mg/5 ml,Pharmadesh Laboratories Ltd.,72.27,,100 ml,bottle
cloxacillin-sodium,Cloxin,Powder for Suspension,125 mg/5 ml,Opsonin Pharma Ltd.,44.84,,100 ml,bottle
cloxacillin-sodium,Cloxin,Capsule,500 mg,Opsonin Pharma Ltd.,5.92,307.84,13 x 4 pcs,strip
cloxacillin-sodium,Cloxin,IM/IV Injection,500 mg/vial,Opsonin Pharma Ltd.,25.0,100.0,500 mg,vial
cloxacillin-sodium,Cloxmet,Capsule,500 mg,Medimet Pharmaceuticals Ltd.,5.75,287.5,50's,pack
cloxacillin-sodium,Cloxpen,Capsule,500 mg,Drug International Ltd.,5.92,236.8,4 x 10 pcs,strip
cloxacillin-sodium,Cyclox,Capsule,500 mg,Sonear Laboratories Ltd.,5.96,238.4,40's,pack
cloxacillin-sodium,Ficlox,Capsule,500 mg,Synovia Pharma PLC.,6.0,180.0,3 x 10 pcs,strip
cloxacillin-sodium,Ficlox,IM/IV Injection,500 mg/vial,Synovia Pharma PLC.,25.0,,500 mg,vial
cloxacillin-sodium,Ficlox,Powder for Suspension,125 mg/5 ml,Synovia Pharma PLC.,45.0,,100 ml,bottle
cloxacillin-sodium,G-Cloxacillin,IM/IV Injection,500 mg/vial,Gonoshasthaya Pharma Ltd.,20.0,200.0,500 mg,vial
cloxacillin-sodium,Hi-clox,Powder for Suspension,125 mg/5 ml,Hudson Pharmaceuticals Ltd.,45.0,,100 ml,bottle
cloxacillin-sodium,Hi-clox,Capsule,500 mg,Hudson Pharmaceuticals Ltd.,5.0,200.0,40's,pack
cloxacillin-sodium,Miclocin,Capsule,500 mg,Millat Pharmaceuticals Ltd.,5.95,595.0,100's,pack
cloxacillin-sodium,Miclocin,Powder for Suspension,125 mg/5 ml,Millat Pharmaceuticals Ltd.,44.67,,100 ml,bottle
cloxacillin-sodium,Penclox,Capsule,500 mg,Central Pharmaceuticals Ltd.,5.8,580.0,100's,pack
cloxacillin-sodium,Penclox,Powder for Suspension,125 mg/5 ml,Central Pharmaceuticals Ltd.,43.0,,100 ml,bottle
cloxacillin-sodium,Salclox,Powder for Suspension,125 mg/5 ml,Salton Pharmaceuticals Ltd.,43.66,,100 ml,bottle
cloxacillin-sodium,Sinaclox,Capsule,500 mg,Ibn Sina Pharmaceuticals Ltd.,5.75,287.5,5 x 10 pcs,strip
cloxacillin-sodium,Sinaclox,Powder for Suspension,125 mg/5 ml,Ibn Sina Pharmaceuticals Ltd.,43.0,,100 ml,bottle
gemifloxacin,Facticin,Tablet,320 mg,Square Pharmaceuticals PLC,65.19,391.14,1 x 6 pcs,strip
gemifloxacin,Factiq,Tablet,320 mg,Monicopharma Ltd.,65.0,520.0,8's,pack
gemifloxacin,Flogem,Tablet,320 mg,Opsonin Pharma Ltd.,65.25,391.5,1 x 6 pcs,strip
gemifloxacin,Gefcin,Tablet,320 mg,Biopharma Limited,65.0,520.0,2 x 4 pcs,strip
gemifloxacin,Gelcin,Tablet,320 mg,Drug International Ltd.,65.0,455.0,1 x 7 pcs,strip
gemifloxacin,Geloxin,Tablet,320 mg,Euro Pharma Ltd.,65.0,520.0,2 x 4 pcs,strip
gemifloxacin,Gemelon,Tablet,320 mg,Navana Pharmaceuticals Ltd.,65.17,391.0,1 x 6 pcs,strip
gemifloxacin,Gemicin,Tablet,320 mg,Healthcare Pharmaceuticals Ltd.,65.0,455.0,1 x 7 pcs,strip
gemifloxacin,Gemif,Tablet,320 mg,Beacon Pharmaceuticals PLC,65.2,521.6,1 x 8 pcs,strip
gemifloxacin,Gemiflox,Tablet,320 mg,Popular Pharmaceuticals Ltd.,65.25,652.5,1 x 10 pcs,strip
gemifloxacin,Geminox,Tablet,320 mg,Eskayef Pharmaceuticals Ltd.,65.0,520.0,2 x 4 pcs,strip
gemifloxacin,Gemiquin,Tablet,320 mg,Jenphar Bangladesh Ltd.,65.0,520.0,2 x 4 pcs,strip
gemifloxacin,Gemitab,Tablet,320 mg,Ibn Sina Pharmaceuticals Ltd.,40.0,400.0,1 x 10 pcs,strip
gemifloxacin,Geoflox,Tablet,320 mg,Sharif Pharmaceuticals Ltd.,65.19,521.5,2 x 4 pcs,strip
gemifloxacin,Kmi,Tablet,320 mg,Kemiko Pharmaceuticals Ltd.,65.0,390.0,6's,pack
gemifloxacin,Leogem,Tablet,320 mg,Leon Pharmaceuticals Ltd.,65.0,520.0,8's,pack
gemifloxacin,Orasquin,Tablet,320 mg,Incepta Pharmaceuticals Ltd.,65.0,520.0,2 x 4 pcs,strip
gemifloxacin,Rtnor,Tablet,320 mg,Novelta Bestway Pharma Ltd.,65.0,390.0,6's,pack
gemifloxacin,Toplon,Tablet,320 mg,Renata PLC,65.0,390.0,1 x 6 pcs,strip
gemifloxacin,Xemi,Tablet,320 mg,Orion Pharma Ltd.,50.15,401.2,2 x 4 pcs,strip
probiotic-combination-hn019-10-billion,B-Kill,Capsule,10 billion,Bexter Pharmaceuticals,40.0,1200.0,3 x 10 pcs,strip
probiotic-combination-hn019-10-billion,Bioflora,Capsule,10 billion,Total Herbal & Nutraceuticals,25.0,750.0,3 x 10 pcs,strip
probiotic-combination-hn019-10-billion,Lactobac,Capsule,10 billion,Total Herbal & Nutraceuticals,25.0,750.0,3 x 10 pcs,strip
probiotic-combination-hn019-10-billion,Prodigest,Capsule,10 billion,Incepta Pharmaceuticals Ltd.,25.0,500.0,5 x 4 pcs,strip
doxycycline-hydrochloride,Apdox,Capsule,100 mg,Apex Pharmaceuticals Ltd.,1.5,150.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Aristodox,Capsule,100 mg,Aristopharma Ltd.,2.2,220.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Asidox,Capsule,100 mg,Asiatic Laboratories Ltd.,2.0,200.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Biocap,Capsule,100 mg,Biopharma Limited,2.5,250.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Bpdox,Capsule,100 mg,Bristol Pharmaceuticals Ltd.,1.5,150.0,100's,pack
doxycycline-hydrochloride,Capsidox,Capsule,100 mg,Quality Pharmaceuticals Ltd.,1.8,180.0,100's,pack
doxycycline-hydrochloride,Cosdox,Capsule,100 mg,Cosmo Pharma Laboratories Ltd.,2.0,200.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Delacin,Capsule,100 mg,Aexim Pharmaceuticals Ltd.,1.5,150.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Difitox,Capsule,100 mg,Al-Madina Pharmaceuticals Ltd.,2.0,200.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Dolin,Capsule,100 mg,Union Pharmaceuticals Ltd,2.0,200.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Dopac,Capsule,100 mg,Pacific Pharmaceuticals Ltd.,2.0,200.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Doxacil,Capsule,100 mg,Square Pharmaceuticals PLC,2.5,250.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Doxacin,Capsule,100 mg,Desh Pharmaceuticals Ltd.,2.15,215.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Doxcline,Capsule,100 mg,Alco Pharma Ltd.,2.01,201.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Doxibac,Capsule,100 mg,Popular Pharmaceuticals Ltd.,2.5,75.0,3 x 10 pcs,strip
doxycycline-hydrochloride,Doxicap,Capsule,50 mg,Renata PLC,1.42,71.0,5 x 10 pcs,strip
doxycycline-hydrochloride,Doxicap,Capsule,100 mg,Renata PLC,2.2,220.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Doxicline,Capsule,100 mg,Ziska Pharmaceuticals Ltd.,2.0,200.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Doxico,Capsule,100 mg,Supreme Pharmaceutical Ltd.,2.15,215.0,100's,pack
doxycycline-hydrochloride,Doxicon,Capsule,100 mg,Medicon Pharmaceuticals Ltd.,2.7,270.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Doxigen,Capsule,100 mg,General Pharmaceuticals Ltd.,2.15,214.8,10 x 10 pcs,strip
doxycycline-hydrochloride,Doxilin,Capsule,100 mg,Ambee Pharmaceuticals Ltd.,2.13,213.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Doximet,Capsule,100 mg,Medimet Pharmaceuticals Ltd.,2.5,250.0,100's,pack
doxycycline-hydrochloride,Doxin,Capsule,100 mg,Opsonin Pharma Ltd.,2.21,221.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Doxin,Capsule,50 mg,Opsonin Pharma Ltd.,1.43,71.5,5 x 10 pcs,strip
doxycycline-hydrochloride,Doxipan,Capsule,100 mg,Salton Pharmaceuticals Ltd.,2.16,216.0,100's,pack
doxycycline-hydrochloride,Doxirem,Capsule,100 mg,Doctor TIMS Pharmaceuticals Ltd.,2.0,200.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Doxisyn,Capsule,100 mg,Syntho Laboratories Ltd.,2.0,200.0,100's,pack
doxycycline-hydrochloride,Doxizen,Capsule,100 mg,Zenith Pharmaceuticals Ltd.,2.15,215.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Doxpro,Capsule,100 mg,Premier Pharmaceuticals Ltd.,2.0,200.0,100's,pack
doxycycline-hydrochloride,Doxseem,Capsule,100 mg,Seema Pharmaceuticals Ltd.,2.5,250.0,100's,pack
doxycycline-hydrochloride,Doxy-A,Capsule,100 mg,ACME Laboratories Ltd.,2.2,220.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Doxycin,Capsule,100 mg,Cosmic Pharma Ltd.,2.1,210.0,100's,pack
doxycycline-hydrochloride,Doxylin,Capsule,100 mg,Skylab Pharmaceuticals Ltd.,2.17,217.0,100's,pack
doxycycline-hydrochloride,Doxysina,Capsule,100 mg,Ibn Sina Pharmaceuticals Ltd.,2.03,203.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Doxyson,Capsule,100 mg,Hudson Pharmaceuticals Ltd.,1.9,190.0,100's,pack
doxycycline-hydrochloride,DXC,Capsule,100 mg,UniMed UniHealth Pharmaceuticals Ltd.,2.5,125.0,5 x 10 pcs,strip
doxycycline-hydrochloride,E-Doxy,Capsule,100 mg,Edruc Limited,2.15,215.0,100's,pack
doxycycline-hydrochloride,Efidox,Capsule,100 mg,Novatek Pharmaceuticals Ltd.,2.0,200.0,100's,pack
doxycycline-hydrochloride,Elidox,Capsule,100 mg,Reliance Pharmaceuticals Ltd.,2.0,200.0,100's,pack
doxycycline-hydrochloride,Fardox,Capsule,100 mg,Pharmadesh Laboratories Ltd.,2.5,250.0,100's,pack
doxycycline-hydrochloride,Impedox,Capsule,100 mg,ACI Limited,2.17,217.0,10 x 10 pcs,strip
doxycycline-hydrochloride,Indox,Capsule,100 mg,Indo Bangla Pharmaceutical,2.0,200.0,100's,pack
